PLIN3	0.000089947
RABAC1	0.000286059
REEP5	0.000044913
ABHD5	0.000057663
CERCAM	0.000089753
CLCN4	0.000002224
COQ8A	0.000136686
GAD2	0.000103350
GET1	0.000075133
GRIA4	0.000007730
MIEF1	0.000063365
PCNX2	0.000006920
PLIN1	0.000008109
PLIN2	0.000030446
PLIN5	0.000005357
PNPLA2	0.000030682
RBFA	0.000057115
RNF24	0.000046345
SLC44A3	0.000007369
TMEM14B	0.000576244
TMEM31	0.000397632
TPD52L2	0.000025115
ZCCHC12	0.000071792
ABHD6	0.000014242
RTP2	0.000182302
SCAMP4	0.000048662
TVP23B	0.000068375
ABI1	0.000282233
ABI2	0.000676912
ABL2	0.000096285
C22orf15	0.000038711
CACNA1A	0.000300082
CBLB	0.000133067
CCDC57	0.000459023
CCHCR1	0.000621223
DST	0.002990421
DTNB	0.000193924
EIF3H	0.000034936
ENAH	0.000033818
FER	0.000035653
FYN	0.000673598
GRB2	0.001487458
HCK	0.000244089
HHEX	0.000107018
HNRNPK	0.000381424
HOMER1	0.000069491
INPPL1	0.000046878
ITK	0.000046661
LCK	0.000127100
LMO1	0.000366416
MAB21L2	0.000037767
NCF1	0.000094447
NFASC	0.000021227
NHSL2	0.000073419
PCM1	0.000134907
PIK3R2	0.000112935
PIK3R3	0.000442224
PLCG1	0.000286269
PRKAA2	0.000361890
RASA1	0.000164440
RBM15	0.000024762
SOCS7	0.000054961
SORBS1	0.000049842
SORBS2	0.000116106
SPTA1	0.000065032
SRRM1	0.000015222
SYNE2	0.000068095
VARS2	0.000021642
VAV1	0.000076345
VAV2	0.000209082
YES1	0.000215055
ABLIM3	0.000036831
ANKRD55	0.000096240
ATP23	0.000091313
BAG4	0.000365748
BIN3	0.000027506
BLOC1S5	0.000038998
BORCS6	0.000117853
C1orf216	0.000256766
C20orf202	0.000025044
C4orf17	0.000038730
CCDC102B	0.000298360
CCDC74B	0.000032229
CENPH	0.000081071
CEP44	0.000146717
CEP57	0.000133503
CUEDC1	0.000040289
DCTN2	0.000128813
DISC1	0.000803673
DLGAP2	0.000106496
FAM161B	0.000214707
FAM166B	0.000059876
FAM90A1	0.000504290
FAM9C	0.000032348
FOXD4L1	0.000069245
GAS2L2	0.000132949
GCC1	0.000186429
GGN	0.000063865
GPANK1	0.000375386
HGS	0.000911008
HSF2BP	0.000810319
IHO1	0.000226506
INCA1	0.000776537
INSYN1	0.000070203
KIFC3	0.000610726
KRT13	0.000168808
KRT14	0.000164451
KRT15	0.000401526
KRT19	0.000260929
KRT20	0.000152678
KRT24	0.000087987
KRT27	0.000432267
KRT75	0.000354948
LGALS9B	0.000028978
LHX8	0.000106561
LMO4	0.000361485
LURAP1	0.000097217
MAGEA1	0.000056147
MCM7	0.000179793
MED11	0.000029189
MRFAP1	0.000172925
MRFAP1L1	0.000164601
MYO15B	0.000290363
MYOZ3	0.000166884
NCKIPSD	0.000141912
NLGN1	0.000028855
NUP62	0.000228648
OOEP	0.000026475
PAK2	0.000124469
PCDH10	0.000003037
PCDH17	0.000023841
PDLIM7	0.000150098
PHETA1	0.000046119
PLEKHN1	0.000130148
PRDM14	0.000171471
PRR16	0.000026801
PRR20A	0.000257837
PRR20B	0.000250508
PRR20C	0.000252971
PRR20D	0.000250508
PRR20E	0.000250508
PWWP2B	0.000011714
RABGEF1	0.000127779
RNPS1	0.000205708
RPP25	0.000074211
SLA	0.000033986
SNAPIN	0.000482011
SNX18	0.000055101
SNX7	0.000040840
STX19	0.000062155
TPM2	0.000041916
TRIM72	0.000119349
TRIML2	0.000152266
UBQLN2	0.001130765
VPS28	0.000123585
WASHC1	0.000254842
ZFP90	0.000070679
ZNF474	0.000082227
ZNF688	0.000306280
ABI3	0.000202884
ABI3BP	0.000017014
ACTN3	0.000204438
ARHGAP9	0.000052755
ARMC7	0.000192226
BAIAP2L2	0.000018464
BFSP2	0.000154296
CEP170	0.000085950
EIF3M	0.000022405
EMILIN1	0.000097178
EVL	0.000062842
FAM124B	0.000206848
FBF1	0.000144510
GNG13	0.000100975
GOLM1	0.000229717
IFT20	0.000218756
KANK2	0.000547079
KIAA0408	0.000166874
KLC4	0.000090583
KRT28	0.000055057
KRT35	0.000224094
KRT36	0.000139073
KRT38	0.000184923
